BirdID,GizzardEmptyFFDM
LM-18-001,4.50
LM-18-002,5.24
LM-18-003,4.49
LM-18-004,4.64
LM-18-005,4.79
LM-18-007,4.25
LM-18-008,4.97
LM-18-009,3.72
LM-18-010,3.78
LM-18-011,3.74
LM-18-012,4.44
LM-18-013,4.08
LM-18-014,4.01
LM-18-016,4.00
LM-18-017,3.78
LM-18-018,4.65
LM-18-019,4.39
LM-18-021,3.85
LM-18-022,5.08
LM-18-023,4.62
LM-18-024,4.06
LM-18-025,3.62
LM-18-026,3.73
LM-18-027,4.15
LM-18-028,4.47
LM-18-029,4.78
LM-18-030,4.31
LM-18-031,3.63
LM-18-032,4.32
LM-18-033,4.34
LM-18-035,4.79
LM-18-036,4.00
LM-18-037,4.95
LM-18-038,4.03
LM-18-039,3.46
LM-18-040,3.69
LM-18-041,3.78
LM-18-042,3.46
LM-18-044,3.91
LM-18-045,4.71
LM-18-046,4.08
LM-18-049,4.86
LM-18-050,5.28
LM-18-051,4.50
LM-18-052,4.82
LM-18-055,3.51
LM-18-056,4.18
LM-18-057,4.85
LM-18-058,3.54
LM-18-059,3.62
LM-18-060,3.98
LM-18-061,3.29
LM-18-062,4.10
LM-18-063,4.12
LM-18-064,3.95
LM-18-066,3.57
LM-18-067,3.47
LM-18-068,4.57
LM-18-069,4.63
LM-18-070,4.37
LM-18-071,5.15
LM-18-072,4.94
LM-18-073,4.12
LM-18-074,4.22
LM-18-075,4.25
LM-18-081,3.74
LM-18-083,4.46
LM-18-084,4.49
LM-18-085,4.19
LM-18-086,4.71
LM-18-087,4.91
LM-18-088,3.94
LM-18-089,4.73
LM-18-090,4.20
LM-18-091,4.20
LM-18-092,4.64
LM-18-093,4.53
LM-18-094,4.55
LM-18-095,4.40
LM-18-096,3.31
LM-18-097,4.36
LM-18-098,4.49
LM-18-099,4.34
LM-18-100,4.00
