bird ID,Fruits_pcbiomass,Infructescence_pcbiomass,Catkins_pcbiomass,Leaves_pcbiomass,Dry oct leaf_pcbiomass,BC-index,Standardized BC-index
LM-06-003,89.59503399,4.020100503,0,2.172627845,0,-31.80715942,-1.350530987
LM-06-006,26.20717837,25.54655043,0,41.51740108,40.11441803,74.24789429,3.226999143
LM-06-009,25.45116773,67.87420382,0.013269639,0.026539278,0.013269639,49.90411377,2.176277043
LM-06-011,52.12207916,0,1.430615165,31.02050548,28.73152122,-26.79589844,-1.134235795
LM-06-012,6.91254417,0,0,71.22349823,32.46466431,-3.088775635,-0.110993006
LM-06-015,0,0,0,92.27163309,86.0509312,2.21673584,0.118002575
LM-06-016,94.25745497,5.742545025,0,0,0,-38.1862793,-1.62586547
LM-06-018,34.12929528,60.20384391,0.728013978,4.938846826,2.352941176,-28.52606201,-1.20891282
LM-06-021,0,0,0,75.07055503,68.98714331,-18.39297485,-0.771550241
LM-06-027,19.48110243,0,0.008977467,31.87898375,31.87898375,15.2779541,0.681748648
LM-06-029,0,30.45683079,0,53.00364078,51.61667822,-36.80834961,-1.566391504
LM-06-033,0,0,0,12.32594121,10.57246003,-4.04498291,-0.152264661
LM-06-034,58.012451,9.82245792,0,22.71155176,6.433018215,6.925048828,0.321221976
LM-06-036,46.4177825,28.05355976,0,4.092504899,3.861854997,-16.70941162,-0.698884572
LM-06-037,56.36431504,15.21712082,0,1.281572726,1.269130272,-21.95782471,-0.925415682
LM-06-038,41.76804934,32.50937235,0,3.088644334,2.979804088,5.624481201,0.265087098
LM-06-039,0,0,0,59.2498655,41.05756667,10.66687012,0.482725828
LM-06-040,46.69231764,3.879979307,2.964950854,41.499612,41.49637869,11.23944092,0.507439031
LM-06-041,63.62394163,33.46265525,2.12771149,0.783251592,0.619769173,-48.0776062,-2.052793234
LM-06-042,70.92118869,14.31461583,9.229870071,0.008991593,0,13.80239868,0.618060977
LM-06-046,62.86590822,0,0,0.703055094,0,-13.96707153,-0.580520157
LM-06-048,8.915396283,0.00257076,0,44.57955217,35.31196175,-39.87237549,-1.698640466
LM-06-049,41.12856548,39.55361041,6.358716071,7.579280862,3.205759604,-30.2052002,-1.281387496
LM-06-077,0,0.731773421,0,83.04273195,62.99575391,-4.504455566,-0.172096342
LM-06-080,0,0,0,99.31422407,96.97950378,7.793609619,0.358710649
LM-06-081,20.08487547,0,0,59.68878994,55.05542415,-0.640167236,-0.005306588
LM-06-082,43.15588656,0,0,32.0596544,31.56528598,3.212158203,0.160966825
LM-06-083,35.87929401,0,0,20.25362949,19.95012469,9.48425293,0.431681907
LM-06-084,26.61219359,0,3.040715134,30.94908862,30.58174454,-23.93063354,-1.010565721
LM-06-085,92.43902439,0,0,1.424903723,0,-18.47174072,-0.77494992
LM-06-086,9.17287645,0,0,48.31309042,47.12296348,-1.956604004,-0.062126408
LM-06-087,12.65257088,2.472369053,0,16.63382989,9.221528111,-24.38241577,-1.030065468
