sample-id,Notes,BirdID,Phase,CollYear,CollMonth,CollDay,Sex,Age,WeightNE,DigestivTrLength (SI+LI+2xceca),Gut - rectum (SI),Caecum,ceca/weight,ceca/Gut length,SI/weight,SeqRun
1,,LM-08-028,late,2008,11,2,M,A,527.19,211,,49,9.29,23.22,0,1
2,1,LM-11-002,early,2011,10,1,M,J,480.99,202.5,103,44,9.15,21.73,21.41416661,
3,,LM-08-101,late,2008,11,8,F,A,469.38,175,,41,8.73,23.43,,1
4,,LM-09-134,early,2009,10,5,F,J,445.63,191,,44,9.87,23.04,,1
5,,LM-09-119,late,2009,11,1,F,A,495.69,189,,47,9.48,24.87,,1
6,,LM-09-114,late,2009,11,1,F,A,455.87,177,,40,8.77,22.6,,1
7,,LM-09-109,early,2009,10,4,F,A,510.35,188,,41,8.03,21.81,,1
8,,LM-09-108,early,2009,10,4,M,A,516.77,173,,37,7.16,21.39,,1
9,,LM-08-025,late,2008,11,2,M,A,622.04,191,,43,6.91,22.51,,1
10,,LM-08-055,early,2008,10,4,M,A,522.8,170,,36,6.89,21.18,,1
11,,LM-08-071,early,2008,10,3,M,A,513,180,,38,7.41,21.11,,1
12,,LM-08-008,early,2008,10,3,M,J,541.07,171,,40,7.39,23.39,,1
13,,LM-08-059,early,2008,10,5,M,J,535,196,,46,8.6,23.47,,1
14,,LM-08-064,late,2008,11,6,F,A,472.34,185,,42,8.89,22.7,,1
15,,LM-08-084,early,2008,10,3,F,J,454.07,191,,44,9.69,23.04,,1
16,,LM-08-036,late,2008,11,2,M,A,513.24,192,,44,8.57,22.92,,1
17,,LM-08-037,late,2008,11,2,F,A,456.53,180,,41,8.98,22.78,,1
18,,LM-08-054,early,2008,10,4,F,J,476.38,184,,42,8.82,22.83,,1
19,,LM-08-019,early,2008,10,3,M,A,550.44,180,,40,7.27,22.22,,1
20,,LM-08-087,early,2008,10,4,F,J,460.65,196,,45,9.77,22.96,,1
21,,LM-08-040,late,2008,11,8,F,A,528.99,177,,38,7.18,21.47,,1
22,,LM-08-053,early,2008,10,4,M,J,516,182,,42,8.14,23.08,,1
23,,LM-08-073,early,2008,10,3,F,J,482.95,186,,42,8.7,22.58,,1
24,,LM-08-007,early,2008,10,3,M,J,530,190,,44,8.3,23.16,,1
25,,LM-08-074,early,2008,10,3,M,A,542.36,,,,,,,7
26,,LM-08-117,early,2008,10,4,F,J,506.5,,,,,,,7
27,,LM-08-112,early,2008,10,4,F,J,478.46,,,,,,,
28,,LM-08-113,early,2008,10,4,M,A,549.66,,,,,,,7
29,,LM-08-023,early,2008,10,4,M,A,551.1,,,,,,,7
30,,LM-08-058,early,2008,10,4,M,A,559.74,,,,,,,7
31,,LM-08-022,early,2008,10,5,F,J,536.65,,,,,,,7
32,,LM-08-118,early,2008,10,4,M,J,564.05,195,,42,7.45,21.54,,7
33,,LM-08-124,early,2008,10,5,F,J,494.19,,,,,,,7
34,,LM-08-009,early,2008,10,3,M,A,585.46,,,,,,,7
35,,LM-08-063,early,2008,10,3,F,J,521.97,197,,45,8.62,22.84,,7
36,,LM-08-083,early,2008,10,3,F,J,474.03,184,,43,9.07,23.37,,7
37,,LM-08-079,early,2008,10,3,M,J,483.72,184,,41,8.48,22.28,,7
38,,LM-08-137,early,2008,10,4,F,J,457.69,186,,43,9.4,23.12,,7
39,,LM-08-004,early,2008,10,2,F,J,479.36,192,,46,9.6,23.96,,7
41,,LM-08-044,early,2008,10,2,F,J,518.31,181,,39,7.52,21.55,,7
42,,LM-08-082,early,2008,10,3,M,J,531,181,,41,7.72,22.65,,7
43,Dry sandy cecum contents,LM-08-125,early,2008,10,5,M,J,521.44,185,,42,8.05,22.7,,7
44,"Dry, sandy cecum",LM-08-080,late,2008,11,6,F,A,493.74,200,,47,9.52,23.5,,7
45,,LM-08-120,early,2008,10,5,M,J,502.28,,,,,,,7
46,,LM-08-002,early,2008,10,2,F,J,464.42,191,,46,9.9,24.08,,7
47,,LM-08-075,early,2008,10,3,M,J,473.77,188,,43,9.08,22.87,,7
48,,LM-08-123,early,2008,10,5,M,J,568.97,194,,46,8.08,23.71,,7
49,,LM-08-033,early,2008,10,3,M,J,559.57,182,,42,7.51,23.08,,7
50,,LM-08-140,early,2008,10,5,F,J,499.05,195,,44,8.82,22.56,,7
51,,LM-08-043,early,2008,10,2,M,J,449.63,186,,43,9.56,23.12,,7
52,,LM-08-066,early,2008,10,4,F,J,425.77,188,,44,10.33,23.4,,7
53,,LM-08-005,early,2008,10,2,M,J,452.43,,,,,,,7
54,,LM-08-026,late,2008,11,1,F,A,485.29,193,,45,9.27,23.32,,7
55,,LM-08-065,early,2008,10,4,F,A,511.75,179,,42,8.21,23.46,,7
56,,LM-08-077,early,2008,10,3,M,J,548,193,,47,8.58,24.35,,7
57,,LM-08-086,early,2008,10,4,F,A,521.01,170,,34,6.53,20,,3
58,,LM-08-111,early,2008,10,4,F,A,492,174,,39,7.93,22.41,,3
59,,LM-08-024,early,2008,10,5,M,J,474.56,173,,37,7.8,21.39,,3
60,,LM-08-045,early,2008,10,2,M,J,509,203,,48,9.43,23.65,,3
61,,LM-08-057,early,2008,10,4,F,J,486.83,191,,43,8.83,22.51,,7
62,,LM-08-081,early,2008,10,3,F,J,517.5,190,,44,8.5,23.16,,7
63,,LM-08-015,early,2008,10,3,M,J,501,172,,40,7.98,23.26,,7
64,,LM-08-133,early,2008,10,4,M,J,487.36,195,,46,9.44,23.59,,3
65,Dry cecum,LM-08-052,early,2008,10,4,M,J,525,189,,40,7.62,21.16,,3
66,,LM-08-136,early,2008,10,4,F,J,471.32,191,,45,9.55,23.56,,7
67,,LM-08-035,early,2008,10,5,F,A,486.99,178,,39,8.01,21.91,,7
68,,LM-08-018,early,2008,10,3,M,J,550.78,186,,41,7.44,22.04,,7
69,,LM-08-096,early,2008,10,4,F,A,500.48,172,,38,7.59,22.09,,3
70,,LM-08-138,early,2008,10,4,M,A,510.05,179,,38,7.45,21.23,,1
71,,LM-08-078,early,2008,10,3,F,A,476.75,176,,40,8.39,22.73,,1
72,,LM-08-031,early,2008,10,3,M,J,486,183,,43,8.85,23.5,,1
73,,LM-08-116,early,2008,10,4,F,A,509,177,,36,7.07,20.34,,1
74,,LM-08-030,late,2008,11,2,M,A,533,178,,41,7.69,23.03,,1
75,,LM-08-051,early,2008,10,4,M,J,512.35,200,,48,9.37,24,,3
76,,LM-08-100,early,2008,10,3,F,A,468.56,,,,,,,3
77,,LM-08-029,late,2008,11,2,F,A,468.04,184,,43,9.19,23.37,,1
78,,LM-08-103,late,2008,11,6,M,A,549.82,190,,47,8.55,24.74,,1
79,,LM-09-159,late,2009,11,1,F,A,479.63,183,,44,9.17,24.04,,1
80,,LM-09-158,late,2009,11,1,F,A,458.62,193,,44,9.59,22.8,,1
81,,LM-09-165,early,2009,10,6,F,A,551.18,178,,40,7.26,22.47,,1
82,,LM-08-006,early,2008,10,3,F,J,438.44,184,,43,9.81,23.37,,1
83,,LM-08-095,early,2008,10,3,M,J,497.39,196,,45,9.05,22.96,,
84,,LM-08-062,early,2008,10,3,F,A,458.5,178,,38,8.29,21.35,,1
85,,LM-08-038,late,2008,11,8,M,A,541.01,191,,44,8.13,23.04,,1
86,,LM-08-027,late,2008,11,2,M,A,516.21,191,,44,8.52,23.04,,1
87,1,LM-08-102,late,2008,11,7,M,A,532,187,,45,8.46,24.06,,1
88,,LM-09-171,late,2009,11,1,F,A,453.44,190,,43,9.48,22.63,,1
89,,LM-09-170,late,2009,11,1,F,A,433.75,178,,41,9.45,23.03,,1
90,,LM-08-020,early,2008,10,4,M,A,476.34,174,,38,7.98,21.84,,1
92,,LM-08-115,early,2008,10,4,F,A,497.06,191,,44,8.85,23.04,,1
93,Previously 22_LM_C_0040,LM-08-041,early,2008,10,2,M,A,522.69,178,,39,7.46,21.91,,1
94,,LM-08-072,early,2008,10,3,F,A,514.52,187,,43,8.36,22.99,,1
95,,LM-08-085,early,2008,10,4,M,A,522.96,171,,37,7.08,21.64,,1
96,,LM-08-039,late,2008,11,8,F,A,495.09,184,,41,8.28,22.28,,1
97,,LM-09-022,early,2009,10,4,M,A,514.2,181,,42,8.17,23.2,,1
98,,LM-09-168,late,2009,10,30,M,A,502.53,179,,42,8.36,23.46,,1
99,,LM-09-127,early,2009,10,6,M,A,573.72,176,,36,6.27,20.45,,1
100,,LM-09-099,early,2009,10,4,M,J,543.8,198,,45,8.28,22.73,,1
101,,LM-09-175,late,2009,10,30,M,A,512.47,201,,47,9.17,23.38,,1
102,,LM-09-174,late,2009,10,30,M,A,560.38,197,,47,8.39,23.86,,1
