BirdID,Wing_mm,Head_mm,SternL_mm,BodySize,GizzardEmptyFFDM,TotalFat,LDBM,Oxalat,OxalatIntens
LM-07-001,188,50,84.38,-2.03710992,2.75,11.5576801,94.89948,0,
LM-07-002,192,52.26,81.01,-1.57006783,2.73,9.3792399,101.4958208,0,
LM-07-003,191,52.01,84.41,-1.037492191,3.66,11.2172882,120.6790568,0,
LM-07-004,188,51.93,82.69,-1.696670816,3.54,11.7144399,115.4962176,0,
LM-07-005,191,51.3,83.76,-1.429239866,3.52,9.8743245,111.4576416,0,
LM-07-006,191,51.52,79.5,-2.242817253,3.38,9.2100775,107.8229232,0,
LM-07-008,185,50.98,83.35,-2.170193129,3.85,11.5638814,106.4094216,0,
LM-07-009,206,54.64,86.61,1.719749512,3.76,11.8711997,134.3429056,0,
LM-07-010,192,51.58,85.49,-0.875939782,3.46,16.729366,112.8711432,0,
LM-07-012,195,52.94,86.41,0.076257465,3.23,8.5334279,122.2271776,0,
LM-07-013,201,54.28,88.24,1.481894047,2.78,15.5514305,122.3617968,0,
LM-07-016,207,52.95,90.14,1.941266856,3.71,9.3771728,133.4678808,0,
LM-07-018,198,53.36,84.98,0.197666094,3.91,13.7154493,115.0250504,0,
LM-07-019,195,54.11,85.84,0.377887477,3.28,10.3694091,118.9963168,0,
LM-07-020,201,54.74,88.08,1.613917407,4.1,14.0351702,123.2368216,0,
LM-07-021,202,53.39,88.59,1.324908466,3.54,6.6995138,118.45784,0,
LM-07-024,193,50.64,84.24,-1.386227574,3.43,10.5365044,114.9577408,0,
LM-07-025,192,51.41,84.45,-1.155072493,3.82,9.2142117,110.9864744,0,
LM-07-027,187,51.86,82.96,-1.755257861,3.58,12.3890224,110.1787592,0,
LM-07-028,192,52.38,84.95,-0.701185823,3.75,10.7222036,119.2655552,0,
LM-07-029,200,51.62,84.91,-0.263275653,3.63,10.3632078,124.3810848,0,
LM-07-032,196,54.91,85.51,0.686627629,3.04,8.3704668,104.0535856,0,
LM-07-036,199,54.08,90.69,1.74339892,3.44,13.366789,133.7371192,0,
LM-07-040,194,49.8,81.87,-2.095240391,3.48,12.5561177,114.082716,0,
LM-07-041,190,50.7,81.58,-2.192013156,3.39,17.3832775,111.5922608,0,
LM-07-042,188,51.79,81.66,-1.962910852,3,8.2095728,105.0632296,0,
LM-07-043,192,52.26,84.36,-0.868018375,3.73,7.2007997,111.2557128,0,
LM-07-044,203,52.75,91.84,1.865642232,3.44,12.0444963,126.4676824,0,
LM-07-045,202,54.63,87.16,1.471503869,4.06,5.8681715,123.50606,0,
LM-07-047,180,51.01,84.19,-2.433245457,3.41,9.3689044,110.1114496,0,
LM-07-050,197,51.68,83.24,-0.861589903,3.57,10.8624266,122.3617968,1,2
LM-07-051,189,50.91,85.2,-1.447778697,3.54,8.5416963,120.477128,0,
LM-07-052,200,54.65,86.87,1.237973197,3.52,5.6948749,110.5826168,0,
LM-07-054,196,53.92,85.35,0.296795736,3.72,10.045554,116.5731712,0,
LM-07-056,193,52.94,86.27,-0.133036161,3.8,10.7035997,117.2462672,0,
LM-07-060,208,54.48,86.24,1.764579939,3.69,7.2049339,121.8906296,0,
LM-07-061,203,53.58,87.07,1.16472478,3.6,7.8671138,113.6788584,0,
LM-07-062,202,55,85.25,1.204393961,4.01,10.2105822,121.4194624,0,
LM-07-066,191,50.9,84.27,-1.466320765,3.77,9.5401339,114.419264,0,
LM-07-069,201,53.22,85.84,0.59743906,3.99,10.3776775,118.121292,0,
LM-07-070,200,54.71,81.81,0.19915818,2.9,13.0429339,110.04414,0,
LM-07-071,195,53.17,89.32,0.768874479,3.01,10.3694091,115.765456,0,
LM-07-073,195,50.94,82.34,-1.496480579,3.93,9.542201,118.3232208,0,
LM-07-085,205,53.92,87.51,1.559254565,3.86,16.2218788,122.3617968,0,
LM-07-087,192,51.36,84.21,-1.223363582,4.14,12.5561177,109.7749016,0,
LM-07-089,195,53.91,86.55,0.454700013,3.92,12.3745527,116.7751,0,
LM-07-091,200,53.24,84.64,0.263179539,3.63,11.6999702,120.4098184,0,
LM-07-092,201,53.38,89.08,1.334020172,4.21,11.3719809,135.2179304,0,
LM-07-094,186,51.04,83.19,-2.092152716,3,5.2121929,97.9957216,1,3
LM-07-095,189,52.35,85.43,-0.881322037,4.25,5.8723057,111.053784,0,
LM-07-096,202,53.32,86.49,0.859624751,3.93,9.5359997,125.861896,0,
LM-07-099,188,50.36,83.56,-2.079390798,3.84,10.8789634,119.0636264,0,
LM-07-103,210,51.51,88.98,1.449844252,3.6,7.0399057,139.8622928,0,
LM-07-106,203,54.89,87.84,1.797560598,4.04,6.2044292,123.7079888,0,
LM-07-108,195,54.13,87.92,0.820984844,4.47,7.2028668,123.169512,0,
LM-07-109,192,51.58,84.3,-1.125324513,3.81,10.5323702,114.755812,0,
LM-07-110,192,51.42,83.2,-1.413432243,3.64,7.871248,110.9191648,0,
LM-07-111,191,50.46,87.01,-1.050463257,3.76,8.8634843,122.3617968,0,
LM-07-115,209,54.88,90.46,2.882889877,3.94,5.0368292,128.8235184,0,
LM-07-118,199,54.18,85.68,0.729458261,3.81,10.5323702,117.8520536,0,
LM-07-119,202,54.18,89.37,1.772691864,4.08,10.709801,135.7564072,0,
LM-07-121,186,50,84.01,-2.294603956,3.8,8.5313608,112.063428,0,
LM-07-125,198,53.7,87.59,0.867002027,3.78,9.5339326,127.9484936,0,
