"","Notes","BirdID","Phase","CollYear","CollMonth","CollDay","Sex","Age","WeightNE","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","SI.weight","SeqRun","richness","shannon","simp.even"
"4",NA,"LM-09-134","early",2009,10,5,"F","J",445.63,191,NA,44,9.87,23.04,NA,1,275,3.72895713501135,0.0812418704801174
"7",NA,"LM-09-109","early",2009,10,4,"F","A",510.35,188,NA,41,8.03,21.81,NA,1,252,3.61515974968468,0.0782041043505032
"8",NA,"LM-09-108","early",2009,10,4,"M","A",516.77,173,NA,37,7.16,21.39,NA,1,303,3.86009015410374,0.0842641211320177
"10",NA,"LM-08-055","early",2008,10,4,"M","A",522.8,170,NA,36,6.89,21.18,NA,1,278,3.7342581075695,0.0682593652541863
"11",NA,"LM-08-071","early",2008,10,3,"M","A",513,180,NA,38,7.41,21.11,NA,1,253,3.59670858787097,0.0635681127743105
"12",NA,"LM-08-008","early",2008,10,3,"M","J",541.07,171,NA,40,7.39,23.39,NA,1,308,3.77968436474278,0.0646820078159002
"13",NA,"LM-08-059","early",2008,10,5,"M","J",535,196,NA,46,8.6,23.47,NA,1,274,3.8884059405567,0.100677610027268
"15",NA,"LM-08-084","early",2008,10,3,"F","J",454.07,191,NA,44,9.69,23.04,NA,1,295,3.76662267144012,0.0769952452012928
"18",NA,"LM-08-054","early",2008,10,4,"F","J",476.38,184,NA,42,8.82,22.83,NA,1,278,3.76756389625759,0.0833875333271911
"19",NA,"LM-08-019","early",2008,10,3,"M","A",550.44,180,NA,40,7.27,22.22,NA,1,265,3.82088016820228,0.0898955205370521
"20",NA,"LM-08-087","early",2008,10,4,"F","J",460.65,196,NA,45,9.77,22.96,NA,1,221,3.17282435471045,0.044498333076117
"22",NA,"LM-08-053","early",2008,10,4,"M","J",516,182,NA,42,8.14,23.08,NA,1,260,3.62804497172555,0.0670316926846336
"23",NA,"LM-08-073","early",2008,10,3,"F","J",482.95,186,NA,42,8.7,22.58,NA,1,319,3.86089013016168,0.0782454437246984
"24",NA,"LM-08-007","early",2008,10,3,"M","J",530,190,NA,44,8.3,23.16,NA,1,305,3.87556621305459,0.0813574782680313
"25",NA,"LM-08-074","early",2008,10,3,"M","A",542.36,NA,NA,NA,NA,NA,NA,7,220,3.57981693315056,0.0911342429853679
"26",NA,"LM-08-117","early",2008,10,4,"F","J",506.5,NA,NA,NA,NA,NA,NA,7,250,3.8234773015908,0.108154068447431
"28",NA,"LM-08-113","early",2008,10,4,"M","A",549.66,NA,NA,NA,NA,NA,NA,7,253,3.74577517358179,0.089519227155837
"29",NA,"LM-08-023","early",2008,10,4,"M","A",551.1,NA,NA,NA,NA,NA,NA,7,231,3.91471906204584,0.137094637573733
"30",NA,"LM-08-058","early",2008,10,4,"M","A",559.74,NA,NA,NA,NA,NA,NA,7,194,3.21512957109952,0.0540262100246805
"31",NA,"LM-08-022","early",2008,10,5,"F","J",536.65,NA,NA,NA,NA,NA,NA,7,211,3.14978614269594,0.0516158976593337
"32",NA,"LM-08-118","early",2008,10,4,"M","J",564.05,195,NA,42,7.45,21.54,NA,7,225,3.75158680604146,0.114930866712499
"33",NA,"LM-08-124","early",2008,10,5,"F","J",494.19,NA,NA,NA,NA,NA,NA,7,240,3.89742003403352,0.126394751614615
"34",NA,"LM-08-009","early",2008,10,3,"M","A",585.46,NA,NA,NA,NA,NA,NA,7,247,3.72718652449981,0.0818445243158002
"35",NA,"LM-08-063","early",2008,10,3,"F","J",521.97,197,NA,45,8.62,22.84,NA,7,238,4.04307453176377,0.142990692643817
"36",NA,"LM-08-083","early",2008,10,3,"F","J",474.03,184,NA,43,9.07,23.37,NA,7,230,3.6873784695373,0.0954730846562734
"37",NA,"LM-08-079","early",2008,10,3,"M","J",483.72,184,NA,41,8.48,22.28,NA,7,260,3.99261893822818,0.112596423586395
"38",NA,"LM-08-137","early",2008,10,4,"F","J",457.69,186,NA,43,9.4,23.12,NA,7,263,4.04372579246439,0.133118580710763
"39",NA,"LM-08-004","early",2008,10,2,"F","J",479.36,192,NA,46,9.6,23.96,NA,7,215,2.81055916010948,0.0336900653210355
"41",NA,"LM-08-044","early",2008,10,2,"F","J",518.31,181,NA,39,7.52,21.55,NA,7,221,3.92095645695758,0.148894074683614
"42",NA,"LM-08-082","early",2008,10,3,"M","J",531,181,NA,41,7.72,22.65,NA,7,236,3.95166236042278,0.12972101573548
"43","Dry sandy cecum contents","LM-08-125","early",2008,10,5,"M","J",521.44,185,NA,42,8.05,22.7,NA,7,244,3.28299983996858,0.0497106432131789
"45",NA,"LM-08-120","early",2008,10,5,"M","J",502.28,NA,NA,NA,NA,NA,NA,7,197,3.20708277256737,0.0609197808184723
"46",NA,"LM-08-002","early",2008,10,2,"F","J",464.42,191,NA,46,9.9,24.08,NA,7,241,3.80803135929026,0.100308294629259
"47",NA,"LM-08-075","early",2008,10,3,"M","J",473.77,188,NA,43,9.08,22.87,NA,7,263,3.54510624875714,0.0586940686011012
"48",NA,"LM-08-123","early",2008,10,5,"M","J",568.97,194,NA,46,8.08,23.71,NA,7,198,3.58181523920403,0.0970024229119598
"49",NA,"LM-08-033","early",2008,10,3,"M","J",559.57,182,NA,42,7.51,23.08,NA,7,212,3.84001374994603,0.134260315311221
"50",NA,"LM-08-140","early",2008,10,5,"F","J",499.05,195,NA,44,8.82,22.56,NA,7,224,3.6043190468055,0.072305214317317
"51",NA,"LM-08-043","early",2008,10,2,"M","J",449.63,186,NA,43,9.56,23.12,NA,7,235,3.71058062984286,0.0909924070752228
"52",NA,"LM-08-066","early",2008,10,4,"F","J",425.77,188,NA,44,10.33,23.4,NA,7,237,3.42119359454106,0.073529269031279
"53",NA,"LM-08-005","early",2008,10,2,"M","J",452.43,NA,NA,NA,NA,NA,NA,7,247,3.84121020252455,0.111954831515143
"55",NA,"LM-08-065","early",2008,10,4,"F","A",511.75,179,NA,42,8.21,23.46,NA,7,199,2.90570437786356,0.0445489747533369
"56",NA,"LM-08-077","early",2008,10,3,"M","J",548,193,NA,47,8.58,24.35,NA,7,276,3.72704488663228,0.0748610602920038
"57",NA,"LM-08-086","early",2008,10,4,"F","A",521.01,170,NA,34,6.53,20,NA,3,286,3.38012721247448,0.0463878687461626
"58",NA,"LM-08-111","early",2008,10,4,"F","A",492,174,NA,39,7.93,22.41,NA,3,291,3.69727340511726,0.072464138803715
"59",NA,"LM-08-024","early",2008,10,5,"M","J",474.56,173,NA,37,7.8,21.39,NA,3,280,3.6680601450792,0.0683147476551677
"60",NA,"LM-08-045","early",2008,10,2,"M","J",509,203,NA,48,9.43,23.65,NA,3,267,3.74710151929955,0.0870590408934366
"61",NA,"LM-08-057","early",2008,10,4,"F","J",486.83,191,NA,43,8.83,22.51,NA,7,184,2.63688805299056,0.0332303130145301
"62",NA,"LM-08-081","early",2008,10,3,"F","J",517.5,190,NA,44,8.5,23.16,NA,7,212,3.26936814222467,0.0531664567767185
"63",NA,"LM-08-015","early",2008,10,3,"M","J",501,172,NA,40,7.98,23.26,NA,7,258,3.87574310634186,0.105736628962991
"64",NA,"LM-08-133","early",2008,10,4,"M","J",487.36,195,NA,46,9.44,23.59,NA,3,287,3.6786048529513,0.0740562032480721
"65","Dry cecum","LM-08-052","early",2008,10,4,"M","J",525,189,NA,40,7.62,21.16,NA,3,254,3.84810228479668,0.0986375342073195
"66",NA,"LM-08-136","early",2008,10,4,"F","J",471.32,191,NA,45,9.55,23.56,NA,7,216,3.52787639322595,0.0782846489605494
"67",NA,"LM-08-035","early",2008,10,5,"F","A",486.99,178,NA,39,8.01,21.91,NA,7,252,3.86498090455955,0.107144011932479
"68",NA,"LM-08-018","early",2008,10,3,"M","J",550.78,186,NA,41,7.44,22.04,NA,7,233,3.87130686210293,0.132495235238697
"69",NA,"LM-08-096","early",2008,10,4,"F","A",500.48,172,NA,38,7.59,22.09,NA,3,296,3.74497679284343,0.0699008060017468
"70",NA,"LM-08-138","early",2008,10,4,"M","A",510.05,179,NA,38,7.45,21.23,NA,1,267,3.70856855054377,0.0719917700624115
"71",NA,"LM-08-078","early",2008,10,3,"F","A",476.75,176,NA,40,8.39,22.73,NA,1,247,3.41169998527959,0.0560964245422143
"72",NA,"LM-08-031","early",2008,10,3,"M","J",486,183,NA,43,8.85,23.5,NA,1,212,2.66450223866355,0.0292006553915273
"73",NA,"LM-08-116","early",2008,10,4,"F","A",509,177,NA,36,7.07,20.34,NA,1,225,2.45580810478469,0.0207777038061802
"75",NA,"LM-08-051","early",2008,10,4,"M","J",512.35,200,NA,48,9.37,24,NA,3,262,3.72655007135936,0.0810841014876442
"76",NA,"LM-08-100","early",2008,10,3,"F","A",468.56,NA,NA,NA,NA,NA,NA,3,294,3.98708330931073,0.104699811085382
"81",NA,"LM-09-165","early",2009,10,6,"F","A",551.18,178,NA,40,7.26,22.47,NA,1,457,3.64610624117994,0.0361941577459072
"82",NA,"LM-08-006","early",2008,10,3,"F","J",438.44,184,NA,43,9.81,23.37,NA,1,322,3.22670165123184,0.0226932837877293
"83",NA,"LM-08-095","early",2008,10,3,"M","J",497.39,196,NA,45,9.05,22.96,NA,NA,398,3.66523570932988,0.0392624509070228
"84",NA,"LM-08-062","early",2008,10,3,"F","A",458.5,178,NA,38,8.29,21.35,NA,1,307,3.91738295438432,0.0820389936300341
"90",NA,"LM-08-020","early",2008,10,4,"M","A",476.34,174,NA,38,7.98,21.84,NA,1,244,3.8420553179784,0.105945468703004
"92",NA,"LM-08-115","early",2008,10,4,"F","A",497.06,191,NA,44,8.85,23.04,NA,1,294,3.81209326022378,0.0778857504276979
"93","Previously 22_LM_C_0040","LM-08-041","early",2008,10,2,"M","A",522.69,178,NA,39,7.46,21.91,NA,1,274,3.87149485798943,0.0891514321198978
"94",NA,"LM-08-072","early",2008,10,3,"F","A",514.52,187,NA,43,8.36,22.99,NA,1,545,3.46277536930154,0.0181199131915944
"95",NA,"LM-08-085","early",2008,10,4,"M","A",522.96,171,NA,37,7.08,21.64,NA,1,308,3.4896765530787,0.0583809343233372
"97",NA,"LM-09-022","early",2009,10,4,"M","A",514.2,181,NA,42,8.17,23.2,NA,1,265,3.06613559734579,0.0395285874858117
"99",NA,"LM-09-127","early",2009,10,6,"M","A",573.72,176,NA,36,6.27,20.45,NA,1,283,3.81599299015941,0.0879115590327067
"100",NA,"LM-09-099","early",2009,10,4,"M","J",543.8,198,NA,45,8.28,22.73,NA,1,283,3.88543700012674,0.104009761468481
"103",NA,"LM-09-055","early",2009,10,4,"F","J",561.39,201,NA,47,8.37,23.38,NA,1,260,3.47957156119748,0.0594809022607855
"104",NA,"LM-09-046","early",2009,10,2,"M","J",539.5,193,NA,44,8.16,22.8,NA,1,281,4.09274308208425,0.120851730162979
"105",NA,"LM-09-090","early",2009,10,3,"M","J",491.26,190,NA,40,8.14,21.05,NA,1,260,3.82971890608503,0.101790078263276
"106",NA,"LM-09-002","early",2009,10,1,"M","J",519.98,200,NA,47,9.04,23.5,NA,1,228,3.72343182778421,0.0987931195755866
"107",NA,"LM-09-140","early",2009,10,5,"F","J",490.28,187,NA,42,8.57,22.46,NA,1,273,3.67371962445682,0.0792430961219548
"108",NA,"LM-09-043","early",2009,10,2,"F","J",488.97,192,NA,43,8.79,22.4,NA,1,230,3.74841980272357,0.118829025975202
"110",NA,"LM-09-032","early",2009,10,4,"F","A",486.23,171,NA,38,7.82,22.22,NA,1,429,3.89986271012216,0.0572690426907935
"113",NA,"LM-09-044","early",2009,10,2,"F","A",516.82,191,NA,41,7.93,21.47,NA,1,384,4.01280899569916,0.0777791535002132
"117",NA,"LM-09-058","early",2009,10,5,"F","J",512.6,194,NA,45,8.78,23.2,NA,1,205,3.33962999629492,0.0846623253342182
"118",NA,"LM-09-047","early",2009,10,2,"F","J",460.14,190,NA,45,9.78,23.68,NA,1,310,3.94379658783904,0.092091024533465
"119",NA,"LM-09-056","early",2009,10,5,"M","A",552.38,190,NA,44,7.97,23.16,NA,1,294,3.98940185857881,0.113164139701558
"120",NA,"LM-09-069","early",2009,10,6,"M","A",532.19,183,NA,43,8.08,23.5,NA,1,273,3.78601812976222,0.0951506402439103
"122",NA,"LM-10-102","early",2010,10,2,"F","J",465.1,187,95,40,8.6,21.39,20.4257149,NA,201,3.37842993244629,0.0590494466239731
"123","1","LM-10-291","early",2010,10,6,"M","A",504,180,84,42,8.33,23.33,16.66666667,1,246,3.38374908955626,0.0490948326768176
"124","1","LM-10-218","early",2010,10,4,"M","A",496,174,87,38,7.66,21.84,17.54032258,1,323,3.76455126520474,0.0646384519757517
"125",NA,"LM-09-089","early",2009,10,3,"M","J",540.74,200,NA,47,8.69,23.5,NA,1,289,3.36023564731401,0.0425958419806304
"126",NA,"LM-09-007","early",2009,10,1,"M","J",540.71,193,NA,44,8.14,22.8,NA,1,302,3.72506234171363,0.0638566052991338
"127",NA,"LM-09-088","early",2009,10,3,"M","A",518.71,157,NA,33,6.36,21.02,NA,1,273,3.91172049704607,0.105831119787823
"128",NA,"LM-09-026","early",2009,10,4,"M","A",581.84,189,NA,43,7.39,22.75,NA,1,311,3.7794644427758,0.0688137887207625
"129",NA,"LM-09-036","early",2009,10,5,"M","A",509.35,174,NA,38,7.46,21.84,NA,1,275,3.77072670958764,0.0927930885766373
"130",NA,"LM-09-093","early",2009,10,3,"M","J",499.91,194,NA,45,9,23.2,NA,1,254,3.56657240526397,0.0562235424537007
"134","1","LM-09-143","early",2009,10,5,"M","J",556.61,198,NA,45,8.08,22.73,NA,1,268,3.69683206990021,0.0689289223119219
