"","Notes","BirdID","Phase","CollYear","CollMonth","CollDay","Sex","Age","WeightNE","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","SI.weight","SeqRun"
"104",NA,"LM-09-046","early",2009,10,2,"M","J",539.5,193,NA,44,8.16,22.8,NA,1
"0104_1078",NA,"LM-09-046","early",2009,10,2,"M","J",539.5,193,NA,44,8.16,22.8,NA,7
"0104_1098",NA,"LM-09-046","early",2009,10,2,"M","J",539.5,193,NA,44,8.16,22.8,NA,7
"0104_1118",NA,"LM-09-046","early",2009,10,2,"M","J",539.5,193,NA,44,8.16,22.8,NA,7
"105",NA,"LM-09-090","early",2009,10,3,"M","J",491.26,190,NA,40,8.14,21.05,NA,1
"0105_1059",NA,"LM-09-090","early",2009,10,3,"M","J",491.26,190,NA,40,8.14,21.05,NA,7
"0105_1099",NA,"LM-09-090","early",2009,10,3,"M","J",491.26,190,NA,40,8.14,21.05,NA,7
"0105_1119",NA,"LM-09-090","early",2009,10,3,"M","J",491.26,190,NA,40,8.14,21.05,NA,7
"106",NA,"LM-09-002","early",2009,10,1,"M","J",519.98,200,NA,47,9.04,23.5,NA,1
"0106_1060",NA,"LM-09-002","early",2009,10,1,"M","J",519.98,200,NA,47,9.04,23.5,NA,7
"0106_1100",NA,"LM-09-002","early",2009,10,1,"M","J",519.98,200,NA,47,9.04,23.5,NA,7
"0106_1120",NA,"LM-09-002","early",2009,10,1,"M","J",519.98,200,NA,47,9.04,23.5,NA,7
"262","2","LM-10-099","early",2010,10,3,"F","A",508.52,169,83,37,7.28,21.89,16.32187525,2
"0262_1064","2","LM-10-099","early",2010,10,3,"F","A",508.52,169,83,37,7.28,21.89,16.32187525,7
"0262_1084","2","LM-10-099","early",2010,10,3,"F","A",508.52,169,83,37,7.28,21.89,16.32187525,7
"0262_1104","2","LM-10-099","early",2010,10,3,"F","A",508.52,169,83,37,7.28,21.89,16.32187525,7
"0262_1124","2","LM-10-099","early",2010,10,3,"F","A",508.52,169,83,37,7.28,21.89,16.32187525,7
"263","2","LM-10-091","early",2010,10,3,"M","J",475.94,174,86,39,8.19,22.41,18.06950456,2
"0263_1065","2","LM-10-091","early",2010,10,3,"M","J",475.94,174,86,39,8.19,22.41,18.06950456,7
"0263_1085","2","LM-10-091","early",2010,10,3,"M","J",475.94,174,86,39,8.19,22.41,18.06950456,7
"0263_1105","2","LM-10-091","early",2010,10,3,"M","J",475.94,174,86,39,8.19,22.41,18.06950456,7
"0263_1125","2","LM-10-091","early",2010,10,3,"M","J",475.94,174,86,39,8.19,22.41,18.06950456,7
"264","3","LM-10-272","early",2010,10,6,"M","A",514.37,189,90,43,8.36,22.75,17.49713241,2
"0264_1066","3","LM-10-272","early",2010,10,6,"M","A",514.37,189,90,43,8.36,22.75,17.49713241,7
"0264_1086","3","LM-10-272","early",2010,10,6,"M","A",514.37,189,90,43,8.36,22.75,17.49713241,7
"0264_1106","3","LM-10-272","early",2010,10,6,"M","A",514.37,189,90,43,8.36,22.75,17.49713241,7
"0264_1126","3","LM-10-272","early",2010,10,6,"M","A",514.37,189,90,43,8.36,22.75,17.49713241,7
"370","1","LM-11-138","early",2011,10,5,"M","J",510.49,210,94.5,52,10.19,24.76,18.51162608,3
"0370_1061","1","LM-11-138","early",2011,10,5,"M","J",510.49,210,94.5,52,10.19,24.76,18.51162608,7
"0370_1081","1","LM-11-138","early",2011,10,5,"M","J",510.49,210,94.5,52,10.19,24.76,18.51162608,7
"0370_1101","1","LM-11-138","early",2011,10,5,"M","J",510.49,210,94.5,52,10.19,24.76,18.51162608,7
"0370_1121","1","LM-11-138","early",2011,10,5,"M","J",510.49,210,94.5,52,10.19,24.76,18.51162608,7
"372","1","LM-11-135","early",2011,10,5,"M","A",552.18,181.5,92,39,7.06,21.49,16.66123366,3
"0372_1063","1","LM-11-135","early",2011,10,5,"M","A",552.18,181.5,92,39,7.06,21.49,16.66123366,7
"0372_1083","1","LM-11-135","early",2011,10,5,"M","A",552.18,181.5,92,39,7.06,21.49,16.66123366,7
"0372_1103","1","LM-11-135","early",2011,10,5,"M","A",552.18,181.5,92,39,7.06,21.49,16.66123366,7
"0372_1123","1","LM-11-135","early",2011,10,5,"M","A",552.18,181.5,92,39,7.06,21.49,16.66123366,7
"508","1","LM-12-028","early",2012,10,1,"M","A",544.1,194,97,43,7.9,22.16,17.82760522,3
"0508_1062","1","LM-12-028","early",2012,10,1,"M","A",544.1,194,97,43,7.9,22.16,17.82760522,7
"0508_1082","1","LM-12-028","early",2012,10,1,"M","A",544.1,194,97,43,7.9,22.16,17.82760522,7
"0508_1102","1","LM-12-028","early",2012,10,1,"M","A",544.1,194,97,43,7.9,22.16,17.82760522,7
"0508_1122","1","LM-12-028","early",2012,10,1,"M","A",544.1,194,97,43,7.9,22.16,17.82760522,7
"614","1","LM-13-075","early",2013,9,29,"M","J",548.45,201,106,42,7.66,20.9,19.32719482,4
"0614_1067","1","LM-13-075","early",2013,9,29,"M","J",548.45,201,106,42,7.66,20.9,19.32719482,7
"0614_1087","1","LM-13-075","early",2013,9,29,"M","J",548.45,201,106,42,7.66,20.9,19.32719482,7
"0614_1107","1","LM-13-075","early",2013,9,29,"M","J",548.45,201,106,42,7.66,20.9,19.32719482,7
"0614_1127","1","LM-13-075","early",2013,9,29,"M","J",548.45,201,106,42,7.66,20.9,19.32719482,7
"615","1","LM-13-055","early",2013,9,28,"M","A",535.75,192,92,44,8.21,22.92,17.17218852,4
"0615_1068","1","LM-13-055","early",2013,9,28,"M","A",535.75,192,92,44,8.21,22.92,17.17218852,7
"0615_1088","1","LM-13-055","early",2013,9,28,"M","A",535.75,192,92,44,8.21,22.92,17.17218852,7
"0615_1108","1","LM-13-055","early",2013,9,28,"M","A",535.75,192,92,44,8.21,22.92,17.17218852,7
"0615_1128","1","LM-13-055","early",2013,9,28,"M","A",535.75,192,92,44,8.21,22.92,17.17218852,7
"616","1","LM-13-115","early",2013,10,3,"M","J",511.12,186.5,88,44,8.61,23.59,17.21709188,4
"0616_1069","1","LM-13-115","early",2013,10,3,"M","J",511.12,186.5,88,44,8.61,23.59,17.21709188,7
"0616_1089","1","LM-13-115","early",2013,10,3,"M","J",511.12,186.5,88,44,8.61,23.59,17.21709188,7
"0616_1109","1","LM-13-115","early",2013,10,3,"M","J",511.12,186.5,88,44,8.61,23.59,17.21709188,7
"0616_1129","1","LM-13-115","early",2013,10,3,"M","J",511.12,186.5,88,44,8.61,23.59,17.21709188,7
"745","1","LM-15-248","early",2015,10,4,"F","J",414.45,177,85.5,40.5,9.77,22.88,20.62975027,5
"0745_1070","1","LM-15-248","early",2015,10,4,"F","J",414.45,177,85.5,40.5,9.77,22.88,20.62975027,7
"0745_1090","1","LM-15-248","early",2015,10,4,"F","J",414.45,177,85.5,40.5,9.77,22.88,20.62975027,7
"0745_1110","1","LM-15-248","early",2015,10,4,"F","J",414.45,177,85.5,40.5,9.77,22.88,20.62975027,7
"0745_1130","1","LM-15-248","early",2015,10,4,"F","J",414.45,177,85.5,40.5,9.77,22.88,20.62975027,7
"746","1","LM-15-244","early",2015,10,4,"F","J",440.27,176.5,93,36.5,8.29,20.68,21.12340155,5
"0746_1071","1","LM-15-244","early",2015,10,4,"F","J",440.27,176.5,93,36.5,8.29,20.68,21.12340155,7
"0746_1091","1","LM-15-244","early",2015,10,4,"F","J",440.27,176.5,93,36.5,8.29,20.68,21.12340155,7
"0746_1111","1","LM-15-244","early",2015,10,4,"F","J",440.27,176.5,93,36.5,8.29,20.68,21.12340155,7
"0746_1131","1","LM-15-244","early",2015,10,4,"F","J",440.27,176.5,93,36.5,8.29,20.68,21.12340155,7
"749","1","LM-15-251","early",2015,10,4,"M","J",472.83,197,97,44.5,9.41,22.59,20.51477275,5
"0749_1072","1","LM-15-251","early",2015,10,4,"M","J",472.83,197,97,44.5,9.41,22.59,20.51477275,7
"0749_1092","1","LM-15-251","early",2015,10,4,"M","J",472.83,197,97,44.5,9.41,22.59,20.51477275,7
"0749_1112","1","LM-15-251","early",2015,10,4,"M","J",472.83,197,97,44.5,9.41,22.59,20.51477275,7
"0749_1132","1","LM-15-251","early",2015,10,4,"M","J",472.83,197,97,44.5,9.41,22.59,20.51477275,7
"751","1","LM-15-009","early",2015,10,1,"M","A",516.12,174.5,93,35.5,6.88,20.34,18.01906533,5
"0751_1073","1","LM-15-009","early",2015,10,1,"M","A",516.12,174.5,93,35.5,6.88,20.34,18.01906533,7
"0751_1093","1","LM-15-009","early",2015,10,1,"M","A",516.12,174.5,93,35.5,6.88,20.34,18.01906533,7
"0751_1113","1","LM-15-009","early",2015,10,1,"M","A",516.12,174.5,93,35.5,6.88,20.34,18.01906533,7
"0751_1133","1","LM-15-009","early",2015,10,1,"M","A",516.12,174.5,93,35.5,6.88,20.34,18.01906533,7
"917","1","LM-17-209","early",2017,10,1,"M","J",523,182,88,41.5,7.93,22.8,16.82600382,6
"0917_1074","1","LM-17-209","early",2017,10,1,"M","J",523,182,88,41.5,7.93,22.8,16.82600382,7
"0917_1094","1","LM-17-209","early",2017,10,1,"M","J",523,182,88,41.5,7.93,22.8,16.82600382,7
"0917_1114","1","LM-17-209","early",2017,10,1,"M","J",523,182,88,41.5,7.93,22.8,16.82600382,7
"0917_1134","1","LM-17-209","early",2017,10,1,"M","J",523,182,88,41.5,7.93,22.8,16.82600382,7
"918","1","LM-17-212","early",2017,10,1,"F","A",501,161.5,84,33,6.59,20.43,16.76646707,6
"0918_1075","1","LM-17-212","early",2017,10,1,"F","A",501,161.5,84,33,6.59,20.43,16.76646707,7
"0918_1095","1","LM-17-212","early",2017,10,1,"F","A",501,161.5,84,33,6.59,20.43,16.76646707,7
"0918_1115","1","LM-17-212","early",2017,10,1,"F","A",501,161.5,84,33,6.59,20.43,16.76646707,7
"0918_1135","1","LM-17-212","early",2017,10,1,"F","A",501,161.5,84,33,6.59,20.43,16.76646707,7
"920","1","LM-17-066","early",2017,10,2,"F","J",481.02,196.5,93.5,46,9.56,23.41,19.43786121,6
"0920_1076","1","LM-17-066","early",2017,10,2,"F","J",481.02,196.5,93.5,46,9.56,23.41,19.43786121,7
"0920_1096","1","LM-17-066","early",2017,10,2,"F","J",481.02,196.5,93.5,46,9.56,23.41,19.43786121,7
"0920_1116","1","LM-17-066","early",2017,10,2,"F","J",481.02,196.5,93.5,46,9.56,23.41,19.43786121,7
"0920_1136","1","LM-17-066","early",2017,10,2,"F","J",481.02,196.5,93.5,46,9.56,23.41,19.43786121,7
"921","1","LM-17-067","early",2017,10,3,"M","J",496.07,188.5,95.5,40.5,8.16,21.49,19.25131534,6
"0921_1097","1","LM-17-067","early",2017,10,3,"M","J",496.07,188.5,95.5,40.5,8.16,21.49,19.25131534,7
"0921_1117","1","LM-17-067","early",2017,10,3,"M","J",496.07,188.5,95.5,40.5,8.16,21.49,19.25131534,7
"0921_1137","1","LM-17-067","early",2017,10,3,"M","J",496.07,188.5,95.5,40.5,8.16,21.49,19.25131534,7
